COUNTER;Front_Bumper_Curvature;Hood_Movement_X;Hood_Movement_Z;Rear_Bumper_Wheel_Covering;Rear_Shoulder_1;Rear_Shoulder_2;Side_Wall_Wheel_Covering_Y;Spoiler_Z;Veh_Apillar;CmpA;CmyA;Vortex_CdA;CdA;CsA;CIA;CIA_Front;CIA_rear;CmrA
100;0;0;0;0;0;0;0;0;0;-0,059889;-0,008673;0,09968;0,748569;0,019831;0,160132;0,057116;0,103016;0,017236
101;0;-25;-30;-30;-30;-20;-20;-30;0;-0,228396;-0,002789;0,12018;0,755256;0,016093;0,211728;0,019082;0,192645;0,012239
102;1;10;0;50;20;20;30;40;1;0,132707;-0,005605;0,08016;0,735656;0,033845;0,046429;0,073322;-0,026894;0,022575
103;0,003436;-17,02346;-29,16998;0,19022;6,169176;0,953302;-2,156851;24,94319;0,845915;-0,167391;-0,009937;0,09707;0,717373;0,027147;0,101951;-0,012528;0,114478;0,023722
104;0,272904;-20,31442;-4,428934;-13,17211;-13,88519;9,776601;-9,1006;23,64298;0,754643;-0,141088;-0,005175;0,09314;0,721921;0,025956;0,104739;-0,00119;0,105929;0,019926
105;0,892986;6,213611;-15,93136;-18,22171;19,89835;16,17657;7,53665;9,81206;0,840079;-0,10975;-0,00308;0,0965;0,726803;0,021175;0,129652;0,023074;0,106579;0,016424
106;0,746114;-19,96421;-2,445322;28,30929;-23,87299;-16,64247;26,86333;27,32014;0,974945;-0,117189;0,007622;0,08725;0,702462;0,01477;0,101725;0,006349;0,095377;0,009421
107;0,804932;1,907357;-0,54679;-29,60366;13,03589;-8,027513;-16,76835;31,73323;0,334277;-0,007336;-0,009465;0,09406;0,754907;0,030401;0,127576;0,060776;0,0668;0,02453
108;0,903759;1,205167;-0,038457;-23,35941;-26,56594;15,97755;5,779856;-9,044049;0,982951;-0,028298;0,002453;0,09717;0,748496;0,015786;0,1591;0,068551;0,090549;0,011122
109;0,738002;-24,76457;-23,60355;14,17583;16,00653;-7,980194;25,03111;30,87026;0,962098;-0,150323;0,007074;0,09178;0,703908;0,016775;0,088088;-0,012978;0,101065;0,009612
110;0,403677;-4,448141;-29,70244;41,45603;11,74707;-16,65807;-8,611636;-21,53719;0,082034;-0,245103;0,00562;0,11004;0,719076;0,007373;0,189434;0,001658;0,187776;0,006809
111;0,245611;1,487427;-0,68983;13,47833;-19,86489;7,414694;26,66019;38,10289;0,326448;0,027726;0,000791;0,08638;0,733978;0,024311;0,104277;0,062431;0,041845;0,016717
112;0,54957;-14,36691;-18,70196;1,323303;8,442374;18,77629;-17,27002;7,372319;0,186889;-0,182882;-0,001101;0,09688;0,721769;0,018486;0,121032;-0,008882;0,129914;0,014492
113;0,73812;-22,62963;-26,8209;-10,89243;-5,876041;18,92885;19,09754;-17,4654;0,739491;-0,183493;-0,004841;0,10424;0,726702;0,028543;0,163071;0,011828;0,151242;0,021339
114;0,226851;9,621138;-24,90686;29,69356;11,78851;19,22163;-8,964354;36,92656;0,836013;-0,115418;-0,012962;0,08806;0,710398;0,03595;0,063884;-0,011832;0,075716;0,025744
115;0,789109;-17,20952;-29,03517;-6,958332;-20,14669;-15,40089;22,87471;34,29878;0,052058;-0,146222;-0,003201;0,09273;0,714325;0,02733;0,097779;-0,006599;0,104378;0,020075
116;0,237651;-3,251059;-29,74335;26,88154;-29,8461;17,60123;-19,33278;16,67462;0,618126;-0,152257;0,001324;0,09151;0,71792;0,010554;0,096536;-0,0095;0,106037;0,010157
117;0,931296;-22,16882;-1,062666;-29,9016;4,788366;-9,593199;-17,77308;-25,89145;0,032772;-0,208061;-0,005515;0,11073;0,741326;0,024287;0,216869;0,029335;0,187534;0,0203
